query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM034788.1	2423551	2428786	C	1	5258	RAL176
CM034788.1	2447968	2448542	C	4681	5257	RAL176
CM034788.1	2448486	2453108	C	1	4669	RAL176
CM034788.1	4339586	4339650	C	287	351	RAL176
CM034788.1	4339649	4344453	C	287	5122	RAL176
CM034788.1	4344452	4344636	C	2	186	RAL176
CM034788.1	7001177	7005700	+	2	4514	RAL176
CM034788.1	7005589	7005926	+	4325	4669	RAL176
CM034788.1	7005870	7006441	+	4679	5258	RAL176
CM034788.1	9956359	9960738	+	300	4669	RAL176
CM034788.1	9960705	9961262	+	4701	5258	RAL176
CM034788.1	11620300	11620859	C	4698	5258	RAL176
CM034788.1	11620817	11625477	C	2	4669	RAL176
CM034788.1	14938614	14939197	C	4679	5258	RAL176
CM034788.1	14939139	14943195	C	618	4669	RAL176
CM034788.1	14943181	14943773	C	2	593	RAL176
CM034788.1	21451051	21455120	+	2	4062	RAL176
CM034788.1	21455113	21455981	+	4325	5258	RAL176
CM034789.1	1784718	1789430	+	2	4669	RAL176
CM034789.1	1789394	1789952	+	4698	5258	RAL176
CM034789.1	7222977	7227661	+	2	4669	RAL176
CM034789.1	7227628	7228184	+	4701	5258	RAL176
CM034789.1	10562117	10562699	+	3	585	RAL176
CM034789.1	10562695	10566667	+	700	4669	RAL176
CM034789.1	10566631	10567188	+	4698	5258	RAL176
CM034789.1	16858313	16863532	C	2	5258	RAL176
CM034789.1	22181570	22182132	C	4698	5258	RAL176
CM034789.1	22182089	22186766	C	2	4669	RAL176
CM034789.1	23124670	23126970	+	2054	4438	RAL176
CM034789.1	23126882	23127068	+	4416	4609	RAL176
CM034790.1	4641722	4646403	+	2	4669	RAL176
CM034790.1	4646370	4646929	+	4701	5258	RAL176
CM034790.1	4648414	4653621	+	3	5258	RAL176
CM034790.1	4680658	4684921	+	366	4668	RAL176
CM034790.1	4684899	4685426	+	4729	5258	RAL176
CM034790.1	6795937	6796493	C	4701	5258	RAL176
CM034790.1	6796460	6801024	C	114	4669	RAL176
CM034790.1	8011797	8016512	+	1	4669	RAL176
CM034790.1	8016481	8017037	+	4701	5258	RAL176
CM034790.1	9275600	9276170	C	4679	5258	RAL176
CM034790.1	9276113	9279655	C	1109	4667	RAL176
CM034790.1	9279779	9280330	C	4701	5258	RAL176
CM034790.1	9280297	9284974	C	3	4670	RAL176
CM034790.1	20311973	20312550	C	4679	5258	RAL176
CM034790.1	20312495	20317126	C	3	4669	RAL176
CM034791.1	4798977	4804180	+	3	5258	RAL176
CM034791.1	9417027	9417581	C	4701	5258	RAL176
CM034791.1	9417548	9422226	C	2	4669	RAL176
CM034791.1	14340523	14345196	+	2	4669	RAL176
CM034791.1	14345162	14345722	+	4701	5258	RAL176
CM034791.1	14893885	14894440	C	4701	5258	RAL176
CM034791.1	14894407	14899044	C	1	4669	RAL176
CM034791.1	14905480	14906033	C	4691	5258	RAL176
CM034791.1	14905988	14910685	C	1	4670	RAL176
CM034791.1	14919953	14920509	C	4701	5258	RAL176
CM034791.1	14920476	14925119	C	1	4669	RAL176
CM034791.1	14933883	14934433	C	4701	5258	RAL176
CM034791.1	14934400	14934916	C	4117	4669	RAL176
CM034791.1	14934911	14938978	C	1	4057	RAL176
CM034791.1	16010334	16015005	+	3	4665	RAL176
CM034791.1	16014989	16015512	+	4726	5258	RAL176
CM034791.1	16015729	16016314	+	61	638	RAL176
CM034791.1	16016315	16020258	+	736	4669	RAL176
CM034791.1	16020211	16020778	+	4691	5258	RAL176
CM034791.1	20918356	20923585	C	2	5258	RAL176
CM034791.1	22320160	22320733	C	4679	5258	RAL176
CM034791.1	22320676	22325347	C	2	4669	RAL176
CM034791.1	23991848	23991912	+	4536	4592	RAL176
CM034791.1	25521650	25522778	C	3454	4609	RAL176
CM034791.1	25979911	25982257	+	1976	4374	RAL176
CM034791.1	25982204	25982368	+	4441	4609	RAL176
