query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM016477.2	2520599	2521475	C	4325	5258	RAL732
CM016477.2	2521364	2525904	C	3	4514	RAL732
CM016477.2	13914773	13920000	+	3	5258	RAL732
CM016477.2	16471012	16476210	+	3	5258	RAL732
CM016477.2	16866241	16870917	+	2	4669	RAL732
CM016477.2	16870857	16871439	+	4672	5258	RAL732
CM016477.2	18725204	18730425	+	1	5258	RAL732
CM016478.2	22421598	22423914	+	2054	4438	RAL732
CM016478.2	22423826	22424012	+	4416	4609	RAL732
CM016478.2	22843267	22843827	C	4701	5258	RAL732
CM016478.2	22843794	22848473	C	2	4669	RAL732
CM016479.2	972977	973035	+	4550	4600	RAL732
CM016479.2	979701	979759	+	4550	4600	RAL732
CM016479.2	986129	986187	+	4550	4600	RAL732
CM016479.2	3969844	3969908	+	4542	4600	RAL732
CM016479.2	5968588	5969145	C	4701	5258	RAL732
CM016479.2	5969112	5973764	C	2	4669	RAL732
CM016479.2	9242091	9247347	+	3	5258	RAL732
CM016479.2	11486186	11486547	C	1	359	RAL732
CM016479.2	11486226	11491445	C	2	5258	RAL732
CM016479.2	20528518	20533171	+	3	4669	RAL732
CM016479.2	20533114	20533696	+	4679	5258	RAL732
CM016480.2	113880	117868	+	2	3962	RAL732
CM016480.2	115869	119101	+	1972	5258	RAL732
CM016480.2	2268462	2273727	C	2	5258	RAL732
CM016480.2	3393872	3399083	+	2	5258	RAL732
CM016480.2	5673714	5674295	C	4679	5258	RAL732
CM016480.2	5674238	5678922	C	2	4669	RAL732
CM016480.2	10899577	10904818	C	2	5258	RAL732
CM016480.2	23065365	23065445	+	4536	4608	RAL732
CM016481.2	1906363	1911066	+	2	4669	RAL732
CM016481.2	1911007	1911639	+	4679	5258	RAL732
CM016481.2	3594902	3595166	C	4338	4609	RAL732
CM016481.2	3595079	3595230	C	4338	4514	RAL732
CM016481.2	3595146	3597593	C	2054	4514	RAL732
CM016481.2	3777156	3777217	+	2653	2714	RAL732
CM016481.2	12811922	12817129	+	1	5258	RAL732
CM016481.2	22297224	22300815	+	2	3581	RAL732
CM016481.2	22298816	22301902	+	1589	4669	RAL732
CM016481.2	22301869	22302431	+	4701	5258	RAL732
SISJ02000018.1	87472	87712	C	4338	4609	RAL732
SISJ02000018.1	87657	87829	C	4319	4513	RAL732
SISJ02000018.1	87725	87897	C	4319	4514	RAL732
SISJ02000018.1	87829	90283	C	2054	4513	RAL732
SISJ02000018.1	90261	90398	C	1366	1522	RAL732
SISJ02000122.1	295	5298	C	63	5258	RAL732
SISJ02000133.1	50507	50544	+	4906	4943	RAL732
SISJ02000135.1	35268	35305	C	4906	4943	RAL732
SISJ02000187.1	8334	13583	C	1	5258	RAL732
