query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM034795.1	3267338	3267884	C	4702	5258	RAL91
CM034795.1	3267852	3271491	C	1066	4669	RAL91
CM034795.1	3271489	3272074	C	3	586	RAL91
CM034795.1	4253351	4258015	+	2	4669	RAL91
CM034795.1	4257959	4258535	+	4679	5258	RAL91
CM034795.1	10300957	10304284	C	1922	5258	RAL91
CM034795.1	10302285	10306209	C	3	3919	RAL91
CM034795.1	12978707	12979291	+	2	586	RAL91
CM034795.1	12979289	12982890	+	1066	4669	RAL91
CM034795.1	12982857	12983409	+	4701	5258	RAL91
CM034795.1	13968262	13972929	+	2	4669	RAL91
CM034795.1	13972874	13973451	+	4679	5258	RAL91
CM034795.1	17188338	17191766	C	1806	5258	RAL91
CM034795.1	17189767	17192507	C	1066	3806	RAL91
CM034795.1	17192505	17193091	C	3	586	RAL91
CM034795.1	18402432	18407204	C	423	5258	RAL91
CM034795.1	18405205	18407626	C	2	2423	RAL91
CM034796.1	8684895	8689601	+	2	4669	RAL91
CM034796.1	8689543	8690116	+	4679	5258	RAL91
CM034796.1	11163855	11164442	+	1	586	RAL91
CM034796.1	11164440	11168040	+	1066	4670	RAL91
CM034796.1	11167987	11168332	+	4679	5049	RAL91
CM034796.1	14834776	14837456	C	2552	5257	RAL91
CM034796.1	14835492	14840007	C	2	4514	RAL91
CM034796.1	23188571	23190869	+	2054	4438	RAL91
CM034796.1	23190781	23190967	+	4416	4609	RAL91
CM034797.1	8199933	8200512	C	4679	5258	RAL91
CM034797.1	8200456	8204045	C	1066	4669	RAL91
CM034797.1	8204044	8204627	C	2	586	RAL91
CM034797.1	8217280	8217847	C	4679	5258	RAL91
CM034797.1	8217792	8217879	C	4574	4669	RAL91
CM034797.1	8217906	8220857	C	1066	4116	RAL91
CM034797.1	8220855	8221441	C	2	586	RAL91
CM034797.1	11106801	11111471	+	1	4669	RAL91
CM034797.1	11111438	11111991	+	4701	5258	RAL91
CM034797.1	11118640	11123291	+	2	4669	RAL91
CM034797.1	11123233	11123811	+	4679	5258	RAL91
CM034797.1	11131045	11131109	+	43	106	RAL91
CM034797.1	11131056	11135723	+	2	4669	RAL91
CM034797.1	11135667	11136237	+	4679	5258	RAL91
CM034797.1	17297327	17297901	C	4679	5258	RAL91
CM034797.1	17297845	17302509	C	2	4669	RAL91
CM034798.1	9630853	9635522	+	2	4669	RAL91
CM034798.1	9635466	9636042	+	4679	5258	RAL91
CM034798.1	9645783	9646609	+	349	1199	RAL91
CM034798.1	9646598	9649579	+	1682	4669	RAL91
CM034798.1	9649523	9650099	+	4679	5258	RAL91
CM034798.1	10783730	10784027	C	59	351	RAL91
CM034798.1	10783976	10784264	C	4701	4991	RAL91
CM034798.1	10784231	10788843	C	59	4669	RAL91
CM034798.1	12581014	12585678	+	2	4669	RAL91
CM034798.1	12585622	12586193	+	4679	5258	RAL91
CM034798.1	19761465	19766131	+	2	4669	RAL91
CM034798.1	19766082	19766653	+	4691	5258	RAL91
CM034798.1	22800662	22805860	+	2	5258	RAL91
CM034798.1	29138094	29141796	+	229	3979	RAL91
CM034798.1	29139797	29142407	+	1933	4609	RAL91
CM034799.1	877660	882323	+	2	4669	RAL91
CM034799.1	882290	882849	+	4701	5258	RAL91
CM034799.1	2748683	2748741	C	4550	4600	RAL91
CM034799.1	2749253	2749314	C	2653	2714	RAL91
CM034799.1	2989560	2991995	+	2054	4514	RAL91
CM034799.1	2991909	2992060	+	4338	4514	RAL91
CM034799.1	2991942	2992093	+	4338	4514	RAL91
CM034799.1	2992008	2992159	+	4338	4514	RAL91
CM034799.1	2992073	2992303	+	4338	4609	RAL91
CM034799.1	10100379	10100614	C	4338	4609	RAL91
CM034799.1	10100561	10100713	C	4338	4514	RAL91
CM034799.1	10100627	10100779	C	4338	4514	RAL91
CM034799.1	10100693	10100845	C	4338	4514	RAL91
CM034799.1	10100792	10103232	C	2054	4514	RAL91
CM034799.1	12867525	12872232	+	3	4669	RAL91
CM034799.1	12872199	12872750	+	4701	5258	RAL91
CM034799.1	13358434	13358495	+	50	106	RAL91
CM034799.1	13358443	13363151	+	3	4669	RAL91
CM034799.1	13363093	13363674	+	4679	5258	RAL91
CM034799.1	15027767	15032396	+	2	4669	RAL91
CM034799.1	15032349	15032920	+	4691	5258	RAL91
CM034799.1	15920514	15925708	C	2	5258	RAL91
CM034799.1	17120599	17121184	+	3	586	RAL91
CM034799.1	17121182	17125380	+	1066	5258	RAL91
CM034799.1	22312474	22317679	C	2	5258	RAL91
CM034799.1	25071003	25075673	+	2	4669	RAL91
CM034799.1	25075618	25076186	+	4679	5258	RAL91
CM034799.1	25363610	25368314	+	2	4669	RAL91
CM034799.1	25368281	25368839	+	4701	5258	RAL91
CM034800.1	647044	651707	+	2	4669	RAL91
CM034800.1	651657	652221	+	4691	5258	RAL91
CM034800.1	839435	839986	C	4701	5258	RAL91
CM034800.1	839953	843556	C	1066	4669	RAL91
CM034800.1	843554	844141	C	2	586	RAL91
